va,pattern,insn,base_or_dst,vtable_load_va,receiver_reg,classification,evidence,arg2_push,arg2_class,literal_va
9994294,P3,"00988036  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x00988034,ecx,INSUFFICIENT_PROOF,"reg copy 00988022  8B CE                     mov ecx, esi then L2 unresolved: no def of esi in any backward chain (parameter/incoming)",,,
9998393,P3,"00989039  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x00989037,ecx,INSUFFICIENT_PROOF,"field read 00989034  8B 4E 48                  mov ecx, dword ptr [esi + 0x48] (offset 0x48 not a known SF holder slot)",,,
9196285,M1_FLOW,008C52FD  FF D0                     call eax,ebx,0x008c52e4,ebx,"ABI_INCOMPATIBLE (measured 2 stack arg(s), thiscall=False)",holder-read [base+0x4] at 0x008c52e4 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9646100,M1_FLOW,00933014  FF D0                     call eax,ecx,0x00933008,ecx,"ABI_INCOMPATIBLE (measured 0 stack arg(s), thiscall=True)",holder-read [base+0x4] at 0x00933008 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9993527,M1_FLOW,00987D37  FF D2                     call edx,ecx,0x00987d2a,ecx,"ABI_INCOMPATIBLE (measured 1 stack arg(s), thiscall=True)",holder-read [base+0x4] at 0x00987d2a flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9165391,M1_FLOW,008BDA4F  FF D2                     call edx,eax,0x008bda44,eax,"ABI_INCOMPATIBLE (measured 2 stack arg(s), thiscall=False)",holder-read [base+0xc] at 0x008bda44 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9172913,M1_FLOW,008BF7B1  FF D0                     call eax,eax,0x008bf7a0,eax,"ABI_INCOMPATIBLE (measured 4 stack arg(s), thiscall=False)",holder-read [base+0xc] at 0x008bf7a0 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9173041,M1_FLOW,008BF831  FF D0                     call eax,eax,0x008bf820,eax,"ABI_INCOMPATIBLE (measured 4 stack arg(s), thiscall=False)",holder-read [base+0xc] at 0x008bf820 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9173173,M1_FLOW,008BF8B5  FF D0                     call eax,eax,0x008bf8a4,eax,"ABI_INCOMPATIBLE (measured 4 stack arg(s), thiscall=False)",holder-read [base+0xc] at 0x008bf8a4 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9173234,M1_FLOW,008BF8F2  FF D2                     call edx,eax,0x008bf8e1,eax,"ABI_INCOMPATIBLE (measured 4 stack arg(s), thiscall=False)",holder-read [base+0xc] at 0x008bf8e1 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9210603,M1_FLOW,008C8AEB  FF D0                     call eax,eax,0x008c8add,eax,"ABI_INCOMPATIBLE (measured 2 stack arg(s), thiscall=False)",holder-read [base+0xc] at 0x008c8add flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9213636,M1_FLOW,008C96C4  FF D0                     call eax,eax,0x008c96b3,eax,"ABI_INCOMPATIBLE (measured 4 stack arg(s), thiscall=False)",holder-read [base+0xc] at 0x008c96b3 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9213845,M1_FLOW,008C9795  FF D0                     call eax,eax,0x008c9784,eax,"ABI_INCOMPATIBLE (measured 4 stack arg(s), thiscall=False)",holder-read [base+0xc] at 0x008c9784 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9705779,M1_FLOW,00941933  FF D0                     call eax,ecx,0x00941926,ecx,"ABI_INCOMPATIBLE (measured 1 stack arg(s), thiscall=True)",holder-read [base+0xc] at 0x00941926 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9707554,M1_FLOW,00942022  FF D0                     call eax,ecx,0x00942016,ecx,"ABI_INCOMPATIBLE (measured 1 stack arg(s), thiscall=True)",holder-read [base+0xc] at 0x00942016 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
9709425,M1_FLOW,00942771  FF D0                     call eax,ecx,0x00942762,ecx,"ABI_INCOMPATIBLE (measured 1 stack arg(s), thiscall=True)",holder-read [base+0xc] at 0x00942762 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
8090645,M1_FLOW,007B7415  FF D2                     call edx,esi,0x007b7406,esi,"ABI_INCOMPATIBLE (measured 1 stack arg(s), thiscall=True)",holder-read [base+0x10] at 0x007b7406 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
4506126,M1_FLOW,0044C20E  FF D0                     call eax,ecx,0x0044c1fe,ecx,"ABI_INCOMPATIBLE (measured 1 stack arg(s), thiscall=True)",holder-read [base+0x14] at 0x0044c1fe flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
4708352,M1_FLOW,0047D800  FF D2                     call edx,ecx,0x0047d7ec,ecx,"ABI_INCOMPATIBLE (measured 1 stack arg(s), thiscall=True)",holder-read [base+0x14] at 0x0047d7ec flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
7318421,M1_FLOW,006FAB95  FF D0                     call eax,ecx,0x006fab80,ecx,ABI_COMPATIBLE_2ARG_THISCALL,holder-read [base+0x14] at 0x006fab80 flows into this slot-3 call; ABI disposition vs measured FUN_0050A050 ABI,,,
